Accident_Index;Number_of_Vehicles;Number_of_Casualties;Date;Time;Speed_limit;Road_conditions;Weather_conditions;Day;Road_type;Light_conditions;biker_gender;biker_severity_injury;biker_age_group
19954100C0463;2;1;1995-07-29;14:00;30.0;Dry;Clear;Saturday;Single carriageway;Daylight;Male;Slight;26 to 35
19954100C0465;2;1;1995-02-08;19:15;30.0;Dry;Clear;Wednesday;Single carriageway;Daylight;Male;Slight;11 to 15
19954100C0469;2;1;1995-02-08;17:50;30.0;Dry;Clear;Wednesday;Single carriageway;Daylight;Male;Slight;46 to 55
19954100C0480;2;1;1995-08-14;07:08;30.0;Dry;Clear;Monday;Single carriageway;Daylight;Female;Serious;56 to 65
19954100C0481;2;1;1995-10-08;11:50;30.0;Dry;Clear;Thursday;Single carriageway;Daylight;Male;Slight;11 to 15
19954100C0484;2;1;1995-11-08;07:15;30.0;Dry;Clear;Friday;Single carriageway;Daylight;Female;Slight;16 to 20
19954100C0487;2;1;1995-08-14;19:05;30.0;Dry;Clear;Monday;Single carriageway;Daylight;Male;Slight;6 to 10
19954100C0493;3;2;1995-08-17;12:30;30.0;Dry;Clear;Thursday;Single carriageway;Daylight;Male;Slight;6 to 10
19954100C0499;2;1;1995-08-24;12:24;30.0;Dry;Clear;Thursday;Roundabout;Daylight;Male;Slight;16 to 20
19954100C0503;2;1;1995-08-23;13:49;30.0;Wet;Rain;Wednesday;Dual carriageway;Daylight;Male;Slight;21 to 25
19954100C0526;2;2;1995-03-09;11:00;30.0;Dry;Clear;Sunday;Single carriageway;Daylight;Male;Slight;21 to 25
19954100C0537;2;1;1995-08-09;06:45;30.0;Wet;Clear;Friday;Dual carriageway;Daylight;Male;Slight;11 to 15
19954100C0539;2;2;1995-09-09;16:39;30.0;Dry;Clear;Saturday;Single carriageway;Daylight;Male;Serious;11 to 15
19954100C0540;2;1;1995-09-09;12:25;30.0;Dry;Clear;Saturday;Single carriageway;Daylight;Male;Slight;11 to 15
19954100C0542;2;1;1995-08-23;16:30;30.0;Dry;Clear;Wednesday;Single carriageway;Daylight;Male;Slight;16 to 20
19954100C0549;2;1;1995-12-09;16:10;30.0;Dry;Clear;Tuesday;Roundabout;Daylight;Male;Slight;21 to 25
19954100C0558;2;1;1995-09-13;15:31;30.0;Dry;Clear;Wednesday;Single carriageway;Daylight;Male;Slight;16 to 20
19954100C0579;2;1;1995-09-26;14:50;30.0;Wet;Rain;Tuesday;Roundabout;Daylight;Male;Slight;36 to 45
